date,Location,ISO-3166 Alpha-3,Amount Funded
2013/05/15,Argentina,ARG,148789.0
2013/05/15,Australia,AUS,15530.23
2013/05/15,Austria,AUT,220000.0
2013/05/15,Bangladesh,BGD,8763.92
2013/05/15,Belgium,BEL,2869.0
2013/05/15,Brazil,BRA,14605.0
2013/05/15,Canada,CAN,8874.37
2013/05/15,China,CHN,350.0
2013/05/15,Egypt,EGY,1225.0
2013/05/15,France,FRA,619000.0
2013/05/15,Germany,DEU,1791300.0
2013/05/15,Ghana,GHA,3306.0
2013/05/15,Hungary,HUN,67477.0
2013/05/15,India,IND,10512.0
2013/05/15,Israel,ISR,141172.0
2013/05/15,Italy,ITA,126529.5
2013/05/15,Kenya,KEN,2300.0
2013/05/15,"Korea, Republic of",KOR,1400.0
2013/05/15,Mexico,MEX,11023.0
2013/05/15,Morocco,MAR,2200.0
2013/05/15,Netherlands,NLD,354848.47
2013/05/15,Norway,NOR,146400.0
2013/05/15,Philippines,PHL,1950.0
2013/05/15,Serbia,SRB,101018.38
2013/05/15,Slovakia,SVK,735.0
2013/05/15,South Africa,ZAF,27315.0
2013/05/15,Spain,ESP,15850.0
2013/05/15,Sweden,SWE,341570.0
2013/05/15,Switzerland,CHE,362000.0
2013/05/15,United Kingdom,GBR,560135.95
2013/05/15,United States,USA,4611461.39
2013/05/15,"Venezuela, Bolivarian Republic of",VEN,13224.71
